,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",68.8967,0.6890,0.8236,0.6531,0:02:32,209173,10737678
0,7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",80.9947,0.7958,0.8723,0.7691,0:02:44,1198572,60126696
0,5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",82.0804,0.8208,0.8792,0.7964,0:02:14,1099637,54170158
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",65.2776,0.6528,0.7288,0.6093,0:02:35,153886,8070804
0,4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",76.7552,0.7674,0.8429,0.7371,0:01:56,967672,47162864
0,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",83.6728,0.8255,0.9005,0.8028,0:03:23,739580,38082856
0,4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",80.2296,0.7895,0.8680,0.7617,0:01:59,1033979,50404018
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",69.5378,0.6954,0.7750,0.6580,0:02:49,177502,9430260
0,6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",82.3907,0.7996,0.8953,0.7738,0:02:44,1745390,86777908
0,5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",83.4867,0.8257,0.8972,0.8024,0:02:25,1742744,85854160
0,5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",80.7776,0.8079,0.8648,0.7818,0:02:08,622497,30816982
