,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",81.9546,0.8195,0.8411,0.8040,0:05:22,206436,10738014
0,7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",86.2425,0.8624,0.8772,0.8507,0:05:25,1191275,60127592
0,5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",85.8244,0.8582,0.8735,0.8462,0:04:54,1092340,54171054
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",81.8808,0.8188,0.8323,0.8033,0:05:24,151149,8071140
0,4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",85.4718,0.8547,0.8744,0.8424,0:04:38,960375,47163760
0,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",85.2997,0.8529,0.8710,0.8403,0:06:08,735019,38083416
0,4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",85.4062,0.8541,0.8713,0.8417,0:04:38,1026682,50404914
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",81.6840,0.8168,0.8396,0.8012,0:05:37,174765,9430596
0,6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",85.9310,0.8575,0.8693,0.8453,0:05:14,1735357,86779140
0,5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",85.6686,0.8483,0.8613,0.8353,0:04:58,1732711,85855392
0,5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",85.2915,0.8529,0.8663,0.8404,0:04:53,616112,30817766
0,6,"[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]","[4, 3, 3, 5, 6, 3]",84.7585,0.8476,0.8652,0.8346,0:05:05,317233,16114476
0,5,"[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]","[2, 3, 5, 2, 2]",84.2092,0.8421,0.8575,0.8286,0:04:49,216936,10938214
0,8,"[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]","[1, 4, 1, 6, 1, 2, 4, 3]",87.3514,0.8675,0.8755,0.8561,0:05:44,2876355,144467512
0,6,"[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]","[6, 5, 1, 4, 4, 1]",86.3532,0.8636,0.8751,0.8519,0:05:12,1417227,70797720
0,4,"[128, 128, 128, 128]","[4, 6, 6, 4]","[2, 1, 3, 1]",85.5128,0.8551,0.8647,0.8428,0:04:37,534787,26410104
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]","[2, 2, 4, 3, 5, 2, 3]",87.2100,0.8691,0.8795,0.8579,0:05:33,2230078,111712986
0,7,"[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]","[1, 2, 3, 1, 6, 3, 5]",85.3571,0.8536,0.8705,0.8410,0:05:25,683055,34827744
0,9,"[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]","[1, 1, 3, 6, 1, 1, 3, 4, 5]",84.7258,0.8473,0.8663,0.8341,0:05:52,216420,11650590
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]","[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]",86.7016,0.8670,0.8807,0.8556,0:06:09,1268016,65040934
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]","[6, 2, 2, 1, 6, 1, 4, 4]",87.5810,0.8737,0.8858,0.8629,0:05:45,1796103,90601952
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]","[5, 3, 4, 6, 1, 4, 3, 2, 6]",86.8964,0.8689,0.8821,0.8577,0:06:02,3914121,196051772
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",87.0542,0.8702,0.8826,0.8591,0:06:31,6325215,316318800
