,mlp_ratio,embed_dim,num_heads,layer_num,id,snip
40,"[2, 2, 4, 1, 4]","[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]",5,0,9.76712417602539
41,"[4, 3, 3, 5, 6, 3]","[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]",6,1,5.3869709968566895
42,"[2, 3, 5, 2, 2]","[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]",5,2,4.349007606506348
43,"[1, 4, 1, 6, 1, 2, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]",8,3,52.742820739746094
44,"[6, 5, 1, 4, 4, 1]","[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]",6,4,20.67062759399414
45,"[2, 1, 3, 1]","[128, 128, 128, 128]","[4, 6, 6, 4]",4,5,9.959957122802734
46,"[2, 2, 4, 3, 5, 2, 3]","[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]",7,6,38.5075798034668
47,"[1, 2, 3, 1, 6, 3, 5]","[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]",7,7,12.779125213623047
48,"[1, 1, 3, 6, 1, 1, 3, 4, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]",9,8,4.461825370788574
49,"[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]",10,9,25.395551681518555
50,"[6, 2, 2, 1, 6, 1, 4, 4]","[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]",8,10,29.692886352539062
51,"[5, 3, 4, 6, 1, 4, 3, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]",9,11,76.80807495117188
52,"[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]",10,12,141.15762329101562
53,"[4, 2, 3, 4, 6, 6]","[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]",6,13,8.395575523376465
54,"[4, 3, 4, 4, 4]","[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]",5,14,28.854963302612305
55,"[1, 4, 1, 2, 6, 1, 2, 3, 1]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]",9,15,47.412471771240234
56,"[5, 6, 6, 5, 6, 4, 5, 4, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]",9,16,27.303743362426758
57,"[3, 6, 1, 2]","[160, 160, 160, 160]","[3, 6, 4, 6]",4,17,16.403596878051758
58,"[4, 2, 3, 5, 1]","[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]",5,18,8.684483528137207
59,"[5, 1, 2, 3]","[80, 80, 80, 80]","[3, 4, 5, 4]",4,19,5.734419822692871
60,"[6, 6, 6, 3, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]",6,0,11.683822631835938
61,"[1, 1, 4, 4, 6, 4, 1, 4]","[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]",8,1,6.001094341278076
62,"[2, 4, 5, 1, 4, 5, 4]","[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]",7,2,17.121109008789062
63,"[4, 1, 5, 3, 5, 5]","[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]",6,3,7.874835968017578
64,"[1, 5, 6, 1]","[96, 96, 96, 96]","[4, 6, 4, 4]",4,4,7.553841590881348
