,mlp_ratio,embed_dim,num_heads,layer_num,id,snip
40,"[2, 2, 4, 1, 4]","[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]",5,0,22.614208221435547
41,"[4, 3, 3, 5, 6, 3]","[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]",6,1,8.866854667663574
42,"[2, 3, 5, 2, 2]","[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]",5,2,6.092000484466553
43,"[1, 4, 1, 6, 1, 2, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]",8,3,81.16184997558594
44,"[6, 5, 1, 4, 4, 1]","[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]",6,4,42.06162643432617
45,"[2, 1, 3, 1]","[128, 128, 128, 128]","[4, 6, 6, 4]",4,5,18.835752487182617
46,"[2, 2, 4, 3, 5, 2, 3]","[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]",7,6,65.2854995727539
47,"[1, 2, 3, 1, 6, 3, 5]","[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]",7,7,25.88377571105957
48,"[1, 1, 3, 6, 1, 1, 3, 4, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]",9,8,5.401147365570068
49,"[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]",10,9,42.765804290771484
50,"[6, 2, 2, 1, 6, 1, 4, 4]","[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]",8,10,56.643699645996094
51,"[5, 3, 4, 6, 1, 4, 3, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]",9,11,102.91334533691406
52,"[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]",10,12,163.56687927246094
53,"[4, 2, 3, 4, 6, 6]","[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]",6,13,16.95332908630371
54,"[4, 3, 4, 4, 4]","[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]",5,14,47.2185173034668
55,"[1, 4, 1, 2, 6, 1, 2, 3, 1]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]",9,15,90.53294372558594
56,"[5, 6, 6, 5, 6, 4, 5, 4, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]",9,16,55.98426818847656
57,"[3, 6, 1, 2]","[160, 160, 160, 160]","[3, 6, 4, 6]",4,17,35.91011428833008
58,"[4, 2, 3, 5, 1]","[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]",5,18,12.862792015075684
59,"[5, 1, 2, 3]","[80, 80, 80, 80]","[3, 4, 5, 4]",4,19,9.001837730407715
60,"[6, 6, 6, 3, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]",6,0,21.28604507446289
61,"[1, 1, 4, 4, 6, 4, 1, 4]","[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]",8,1,10.12055778503418
62,"[2, 4, 5, 1, 4, 5, 4]","[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]",7,2,33.349082946777344
63,"[4, 1, 5, 3, 5, 5]","[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]",6,3,16.40740966796875
64,"[1, 5, 6, 1]","[96, 96, 96, 96]","[4, 6, 4, 4]",4,4,13.190834999084473
65,"[6, 1, 6, 5, 5, 4, 1, 1, 4]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]",9,5,101.22642517089844
66,"[2, 3, 6, 4, 3, 5]","[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]",6,6,8.702857971191406
67,"[2, 2, 5, 1, 2, 2, 4]","[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]",7,7,83.44329071044922
68,"[1, 5, 1, 5, 5, 3, 4]","[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]",7,8,66.56133270263672
69,"[6, 1, 3, 2, 5, 4]","[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]",6,9,2.4191880226135254
70,"[6, 6, 2, 3, 4, 6]","[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]",6,10,28.545015335083008
