,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",79.5255,0.7955,0.6562,0.7720,0:00:56,207874,10738686
0,7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",88.0582,0.8806,0.8318,0.8668,0:00:59,1195113,60129384
0,5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",83.7321,0.8373,0.7709,0.8183,0:00:48,1096178,54172846
0,7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",81.0407,0.8104,0.6545,0.7880,0:00:56,152587,8071812
0,4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",85.0080,0.8501,0.8000,0.8326,0:00:42,964213,47165552
0,10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",88.6962,0.8870,0.8483,0.8740,0:01:16,737417,38084536
0,4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",85.3668,0.8537,0.8007,0.8368,0:00:42,1030520,50406706
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",75.5582,0.7237,0.6151,0.6936,0:01:02,176203,9431268
0,6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",88.8955,0.8890,0.8447,0.8761,0:00:57,1740635,86781604
0,5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",88.9155,0.8832,0.8453,0.8696,0:00:51,1737989,85857856
0,5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",83.2536,0.8325,0.7569,0.8130,0:00:47,619470,30819334
0,6,"[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]","[4, 3, 3, 5, 6, 3]",84.3900,0.8439,0.7268,0.8257,0:00:52,319151,16115372
0,5,"[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]","[2, 3, 5, 2, 2]",79.4856,0.7949,0.6642,0.7707,0:00:47,218854,10939110
0,8,"[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]","[1, 4, 1, 6, 1, 2, 4, 3]",88.6962,0.8870,0.8355,0.8739,0:01:12,2882113,144470200
0,6,"[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]","[6, 5, 1, 4, 4, 1]",86.9418,0.8694,0.8292,0.8543,0:00:56,1421545,70799736
0,4,"[128, 128, 128, 128]","[4, 6, 6, 4]","[2, 1, 3, 1]",82.0973,0.8210,0.7457,0.8000,0:00:42,538625,26411896
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]","[2, 2, 4, 3, 5, 2, 3]",88.5965,0.8856,0.8435,0.8723,0:01:04,2235356,111715450
0,7,"[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]","[1, 2, 3, 1, 6, 3, 5]",86.9817,0.8698,0.8076,0.8547,0:00:58,685933,34829088
0,9,"[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]","[1, 1, 3, 6, 1, 1, 3, 4, 5]",82.9944,0.8246,0.7005,0.8043,0:01:07,217858,11651262
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]","[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]",87.8788,0.8525,0.8360,0.8363,0:01:17,1271374,65042502
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]","[6, 2, 2, 1, 6, 1, 4, 4]",87.6994,0.8770,0.8302,0.8628,0:01:09,1800421,90603968
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]","[5, 3, 4, 6, 1, 4, 3, 2, 6]",88.6164,0.8862,0.8416,0.8731,0:01:19,3919879,196054460
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",88.8357,0.8750,0.8526,0.8609,0:01:34,6332413,316322160
0,6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",88.3971,0.8842,0.8318,0.8707,0:00:53,505921,25422152
0,5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",88.1380,0.8792,0.8374,0.8652,0:00:51,1865073,92086344
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",89.4737,0.8947,0.8602,0.8826,0:01:18,2955835,148919988
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",86.7225,0.8672,0.8185,0.8520,0:01:12,1626998,81929078
0,4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",82.2967,0.8230,0.7488,0.8022,0:00:44,1080466,52909262
0,5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",84.6093,0.8463,0.7761,0.8283,0:00:47,498148,24804570
0,4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",76.1962,0.7620,0.6335,0.7318,0:00:42,273607,13405196
0,6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",86.2241,0.8624,0.8214,0.8466,0:00:53,795655,39739868
0,8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",86.3238,0.8632,0.7796,0.8474,0:01:04,359773,18632992
0,7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",87.0016,0.8700,0.8246,0.8552,0:00:59,1023336,51510466
0,6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",88.9553,0.8896,0.8401,0.8767,0:00:53,480161,24167752
0,4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",77.6116,0.7761,0.6801,0.7491,0:00:41,424525,20801760
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",88.2775,0.8814,0.8301,0.8677,0:01:19,3841333,192187184
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",88.1579,0.8814,0.8064,0.8676,0:00:52,310895,15713964
0,7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",88.6164,0.8862,0.8466,0.8731,0:01:04,2438791,121957052
0,7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",88.4968,0.8850,0.8321,0.8716,0:01:03,2005734,100227974
0,6,"[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]","[6, 1, 3, 2, 5, 4]",70.0957,0.7012,0.5722,0.6678,0:00:51,79861,4142096
0,6,"[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]","[6, 6, 2, 3, 4, 6]",86.9019,0.8666,0.8286,0.8513,0:00:53,1022552,50972642
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]","[5, 1, 6, 6, 2, 3, 1, 4]",70.2751,0.7026,0.5691,0.6666,0:01:02,102665,5509000
0,6,"[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]","[6, 4, 2, 2, 4, 4]",86.7225,0.8672,0.8238,0.8520,0:00:54,1161836,57938986
0,4,"[128, 128, 128, 128]","[6, 3, 3, 6]","[4, 3, 5, 5]",86.2640,0.8626,0.8094,0.8467,0:00:42,865525,42348656
0,5,"[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]","[1, 5, 2, 5, 6]",83.4530,0.8345,0.7459,0.8146,0:00:47,402967,20061356
0,4,"[176, 176, 176, 176]","[4, 3, 6, 3]","[2, 6, 6, 5]",87.7392,0.8774,0.8269,0.8632,0:00:45,1738171,85091300
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]","[4, 6, 2, 5, 5, 1, 3, 3, 6]",87.1013,0.8710,0.8060,0.8558,0:01:10,711097,36445976
0,8,"[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]","[3, 2, 6, 4, 3, 3, 4, 4]",87.5797,0.8758,0.8201,0.8615,0:01:06,1521364,76591130
0,9,"[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]","[1, 4, 3, 4, 1, 1, 3, 6, 1]",88.4370,0.8844,0.8237,0.8709,0:01:10,572001,29710632
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]","[6, 6, 5, 6, 3, 2, 2, 3]",87.2209,0.8722,0.8260,0.8575,0:01:08,2084785,104432552
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]","[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]",84.1108,0.8411,0.7570,0.8228,0:01:13,250786,13462302
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]","[6, 2, 5, 1, 5, 6, 5, 5, 4]",87.2209,0.8722,0.8246,0.8576,0:01:12,1472190,74339174
0,5,"[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]","[6, 4, 2, 1, 5]",86.2041,0.8620,0.8121,0.8459,0:00:50,1492466,73747982
0,7,"[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]","[6, 5, 2, 1, 3, 5, 2]",84.0710,0.8407,0.7478,0.8222,0:00:58,335334,17173478
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]","[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]",89.3541,0.8935,0.8644,0.8813,0:01:18,1623723,82226116
0,8,"[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]","[3, 1, 3, 1, 4, 1, 3, 2]",88.0582,0.8806,0.8361,0.8669,0:01:11,2173046,109446358
0,9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]","[3, 3, 1, 4, 4, 5, 2, 1, 1]",79.6053,0.7961,0.6542,0.7727,0:01:07,98205,5417664
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]","[4, 2, 6, 3, 4, 6]",85.2073,0.8521,0.7889,0.8349,0:00:52,327666,16534126
0,5,"[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]","[4, 6, 6, 6, 6]",87.1013,0.8710,0.8261,0.8561,0:00:52,2422104,119289282
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]","[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]",85.7456,0.8533,0.7438,0.8364,0:01:13,260098,13913886
0,5,"[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]","[6, 4, 5, 2, 4]",85.3668,0.8537,0.7990,0.8366,0:00:50,1649118,81419030
0,4,"[112, 112, 112, 112]","[3, 6, 5, 6]","[5, 3, 1, 1]",77.9904,0.7799,0.6963,0.7537,0:00:42,489980,23974426
0,10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]","[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]",89.0550,0.8906,0.8624,0.8780,0:01:24,3355235,168774676
0,10,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]","[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]",86.3038,0.8630,0.7502,0.8470,0:01:13,269410,14365470
0,6,"[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]","[1, 1, 1, 3, 1, 2]",42.9027,0.3523,0.3572,0.3007,0:00:50,115588,6077610
0,10,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]","[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]",87.9187,0.8792,0.8387,0.8655,0:01:15,432901,22721552
0,8,"[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]","[6, 2, 2, 2, 2, 6, 6, 2]",87.5199,0.8752,0.8204,0.8609,0:01:05,1146963,58007572
0,5,"[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]","[2, 3, 2, 2, 4]",75.4187,0.7542,0.5990,0.7248,0:00:47,210598,10537702
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]","[1, 6, 4, 6, 2, 2, 1, 1]",66.2081,0.6623,0.5294,0.6226,0:01:02,92265,5007240
0,7,"[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]","[4, 5, 6, 3, 6, 2, 2]",82.1571,0.8216,0.6715,0.8006,0:00:56,213115,11007108
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]","[4, 2, 4, 4, 2, 4, 2]",89.0949,0.8911,0.8569,0.8786,0:01:05,2297484,114751098
0,8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]","[4, 2, 3, 1, 5, 3, 4, 6]",81.7584,0.8176,0.6836,0.7959,0:01:02,223933,11774448
0,9,"[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]","[4, 5, 4, 2, 2, 3, 4, 4, 2]",86.7225,0.8672,0.8173,0.8519,0:01:10,926593,47397784
0,5,"[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]","[6, 5, 3, 3, 4]",82.0375,0.8204,0.7406,0.7989,0:00:47,610090,30270814
0,7,"[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]","[6, 2, 3, 2, 2, 1, 5]",89.2145,0.8921,0.8462,0.8797,0:01:05,2660551,132795068
0,9,"[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]","[6, 6, 1, 4, 5, 6, 5, 2, 2]",87.9785,0.8788,0.8330,0.8649,0:01:27,6446173,320814480
0,10,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]","[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]",88.3373,0.8834,0.8495,0.8700,0:01:19,1885012,95482394
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]","[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]",88.8158,0.8882,0.8496,0.8752,0:01:16,1527433,77576408
