layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
10,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 4, 3, 5, 4, 5, 3, 3]","[4, 4, 1, 3, 5, 4, 4, 3, 4, 3]",1429.1328125,0.8538,207642036,-41.06074523925781,117.67476654052734,491.6411,32.02104949951172,0.2606284022331238,3.562896661239068,-1068.0132401773565,247.3904,9.55233953488372,57877.23,175.7079988498486,904.2247924804688,20468367,1.068497423880013
6,"[48, 48, 48, 48, 48, 48]","[4, 6, 6, 5, 3, 3]","[4, 5, 1, 3, 4, 3]",64.48643493652344,0.8637,8560650,-0.81976318359375,2.9464304447174072,227.2453,3.059819221496582,0.0165965128690004,1.263430990120355,-9145.314765564455,209.8058,8.417329629629629,19341.877,143.18778904475622,476.3133850097656,2174223,0.6608083448738853
9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 4, 4, 4, 4, 6, 3, 3]","[4, 6, 6, 6, 1, 5, 4, 3, 2]",372.9109497070313,0.8612,72200030,-4.3146185874938965,26.81664276123047,405.5165,11.14603328704834,0.0763275101780891,2.3535921050190467,-2042.9024022208855,235.6531,9.381902564102564,43113.78,167.19544397394458,729.9451904296875,9791903,0.8741590184407144
8,"[96, 96, 96, 96, 96, 96, 96, 96]","[5, 4, 5, 6, 3, 6, 5, 4]","[4, 1, 3, 5, 3, 6, 1, 5]",248.87619018554688,0.8651,43346394,-5.253540515899658,20.57486915588379,344.424,10.705262184143066,0.0866227224469184,2.042306659058781,-2848.721434289648,228.6133,9.191777142857145,34714.31,160.78263846901692,637.1893920898438,7855503,0.8229160366517476
5,"[64, 64, 64, 64, 64]","[5, 6, 3, 3, 4]","[2, 2, 1, 5, 6]",107.65049743652344,0.867,11793068,-1.85507607460022,5.168177604675293,203.2588,3.929223299026489,0.0309092067182064,1.551008108537644,-7604.7732177393455,207.3719,8.540773913043479,17593.416,144.63732877242396,386.9598083496094,1907279,0.7417426400006661
4,"[192, 192, 192, 192]","[6, 5, 4, 4]","[1, 6, 5, 6]",1427.3612060546875,0.8371,97512380,-13.21094799041748,44.288570404052734,208.1163,12.234384536743164,0.1114418804645538,3.5614296263374854,-1907.940838360919,217.5655,9.428831578947367,22923.602,164.51956454781725,383.0676574707031,4156431,1.0689630055858288
8,"[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 5, 3, 6, 5, 4, 4]","[4, 5, 3, 4, 4, 6, 6, 6]",36.97102737426758,0.8358,6512072,-0.7459307312965393,2.391010284423828,278.8572,2.94641661643982,0.0176130756735801,1.020404960201699,-5188.11535965845,210.8687,8.28099142857143,23483.447,148.28110005767132,589.9768676757812,2509967,0.6338704022924446
9,"[128, 128, 128, 128, 128, 128, 128, 128, 128]","[3, 4, 4, 3, 3, 3, 3, 4, 3]","[3, 1, 6, 2, 3, 2, 3, 4, 1]",491.3723754882813,0.8667,74201960,-7.102413654327393,35.94746780395508,408.2304,15.616202354431152,0.1112035065889358,2.546973008269269,-2092.073761043633,236.1453,9.452810256410256,43882.08,163.672397438656,793.572265625,9323023,0.9312834835217956
4,"[144, 144, 144, 144]","[3, 4, 4, 3]","[3, 1, 1, 5]",663.2487182617188,0.8524,39329136,-4.978934288024902,20.714990615844727,191.8758,8.594817161560059,0.0973410606384277,2.8287447939801496,-4074.698695746744,213.8674,9.02752105263158,19839.201,150.49806552433287,362.7543029785156,2364495,0.9705071977805346
5,"[48, 48, 48, 48, 48]","[6, 3, 5, 3, 4]","[6, 1, 6, 1, 5]",64.775146484375,0.8028,7652778,-0.5589938163757324,2.4006452560424805,192.4512,2.3129191398620605,0.0070686344988644,1.258235363427957,-9757.403523804463,204.9881,8.29933043478261,15724.046,142.8895248476272,401.7492370605469,1448703,0.6568408683333473
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",1422.99609375,0.8753,174290872,-25.76266288757324,83.71988677978516,440.2574,23.857288360595703,0.1814051568508148,3.525924616297843,-1338.152099360956,243.6507,9.84951282051282,51318.223,172.2582335201478,783.6510620117188,18390927,1.0372854726683158
5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",1165.5115966796875,0.85,76748448,-7.743185520172119,30.15164566040039,247.1813,10.107342720031738,0.0703349709510803,3.284203743460239,-2568.4810176432056,223.9409,9.439491304347827,27306.436,160.32805303041116,457.2408752441406,6038671,1.0385433969058795
10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",1186.0596923828125,0.8587,199167990,-17.77010726928711,86.15421295166016,487.2789,22.88566017150879,0.1537639051675796,3.340304646974152,-1198.7164331999572,246.6012,9.533039534883722,57434.098,177.09909160381935,851.4247436523438,20655791,1.099856663827783
6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",2633.562744140625,0.8652,227036880,-22.57335662841797,88.25692749023438,313.8322,18.960643768310547,0.2231049835681915,4.360275120134247,-1918.202748187386,237.0378,9.948959259259258,36910.176,172.72523525344474,588.3572387695312,10612719,1.2799946402046771
