layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[3, 6, 4, 5, 5, 6, 4, 4, 3]","[3, 3, 4, 2, 1, 5, 4, 1, 5]",1469.0672607421875,0.9169,174289528,-6.640529632568359,66.82572174072266,437.9241,18.45128059387207,0.4254626929759979,3.525924616297843,-2348.2574,243.4636,10.200923076923075,53277.918,182.7526947834909,832.9467163085938,18391120,1.0372854726683158
5,"[176, 176, 176, 176, 176]","[6, 4, 3, 6, 6]","[2, 3, 5, 3, 1]",1181.614013671875,0.8938,76747216,-4.807878494262695,24.736133575439453,245.9753,8.650200843811035,0.2387202233076095,3.284203743460239,-3668.4792,223.7747,9.763282608695652,27863.004,169.24221951220164,469.9458618164063,6038848,1.0385433969058795
10,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 5, 3, 5, 4, 4, 6, 5]","[5, 3, 6, 3, 4, 6, 3, 2, 5, 6]",1199.599365234375,0.9124,199166758,-6.818620681762695,80.2745590209961,491.0855,21.206586837768555,0.4257191717624664,3.340304646974152,-1926.3473,246.4125,9.851937209302326,60756.383,188.6231384601772,917.6625366210938,20655968,1.099856663827783
6,"[240, 240, 240, 240, 240, 240]","[5, 6, 6, 3, 3, 4]","[6, 3, 5, 6, 5, 2]",2818.666259765625,0.9155,227035200,-8.70028305053711,72.89812469482422,314.558,15.528386116027832,0.7403577566146851,4.360275120134247,-3048.8487,236.858,10.259174074074076,38364.453,185.7298147449225,605.32861328125,10612960,1.2799946402046771
6,"[144, 144, 144, 144, 144, 144]","[6, 3, 6, 6, 3, 4]","[2, 2, 2, 6, 4, 4]",654.2818603515625,0.8814,69160896,-1.6245415210723877,23.33146476745605,284.6601,8.765734672546387,0.235894039273262,2.83225039460649,-3595.3943,225.9324,9.762577777777778,31924.389,173.18780844663684,561.0553588867188,6590752,0.9688300246616564
4,"[112, 112, 112, 112]","[6, 3, 3, 6]","[3, 6, 2, 4]",365.0493774414063,0.8309,30145388,-1.806257724761963,10.639229774475098,187.2205,5.301525592803955,0.0830564349889755,2.3400510649516946,-5640.7876,210.9625,9.243173684210523,19643.764,163.76128460320743,377.3513488769531,2321408,0.9264091219665715
6,"[32, 32, 32, 32, 32, 32]","[3, 4, 3, 6, 6, 5]","[4, 1, 4, 2, 5, 6]",35.39079666137695,0.7334,4219628,-0.3352748453617096,1.477145433425903,207.3887,1.871741890907288,0.0129983974620699,1.015924474587905,-8327.0449,202.349,8.330981481481482,17827.123,150.345359675758,451.2330322265625,1477168,0.629646652959309
5,"[96, 96, 96, 96, 96]","[3, 4, 3, 4, 5]","[1, 6, 1, 6, 5]",248.3618011474609,0.7824,28462462,-1.733015060424805,10.15639877319336,223.9809,5.403544425964356,0.0847877860069274,2.06649786194248,-4409.5789,213.1092,9.231730434782609,22182.998,165.45990542230209,448.2104797363281,2591248,0.8388656730130606
9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[3, 5, 4, 5, 3, 4, 5, 3, 3]","[2, 1, 4, 4, 6, 1, 1, 3, 4]",34.96563720703125,0.7371,5639844,-0.3867060542106628,1.7957537174224854,300.0233,2.5518078804016118,0.0116042084991931,1.0100778862688262,-3832.3971,211.1262,8.445197435897436,27087.111,154.0221565454852,655.1898193359375,2800240,0.6235356615873888
5,"[160, 160, 160, 160, 160]","[3, 6, 6, 6, 5]","[6, 3, 5, 3, 3]",939.751220703125,0.883,78617574,-2.083662509918213,20.958532333374023,246.682,7.025905132293701,0.2151030004024505,3.134821109022596,-4441.2146,224.5618,9.776369565217392,27660.537,172.53165934392334,471.8063659667969,5725296,1.0817224297716166
5,"[112, 112, 112, 112, 112]","[4, 4, 5, 5, 5]","[2, 4, 5, 3, 1]",369.94732666015625,0.8606,33248852,-2.316138505935669,11.143247604370115,226.545,5.7891845703125,0.0848651528358459,2.3204943396012823,-4689.2761,216.7966,9.345947826086956,23072.426,164.7863667347393,453.9399719238281,3579760,0.89867566169778
9,"[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 5, 6, 4, 5, 3, 6, 4, 3]","[1, 3, 5, 1, 1, 3, 2, 2, 5]",244.03927612304688,0.9085,41097210,-4.444779396057129,18.15973281860352,384.9362,10.510909080505373,0.1245437189936637,2.0419050566590293,-2253.2384,229.1988,9.450617948717948,41193.273,170.106644385137,770.7014770507812,9466000,0.8146921912274543
5,"[160, 160, 160, 160, 160]","[5, 5, 6, 3, 3]","[5, 6, 1, 3, 4]",959.6800537109376,0.8702,76361908,-1.8936541080474851,19.77871322631836,244.2001,6.921390533447266,0.2040332406759262,3.161418918556592,-4880.1847,224.2643,9.737939130434782,28462.363,172.3105654368813,483.0576171875,4898256,1.1151150379373576
7,"[192, 192, 192, 192, 192, 192, 192]","[6, 6, 3, 5, 5, 4, 4]","[4, 3, 3, 1, 4, 1, 6]",1478.6473388671875,0.9163,136318840,-11.266424179077148,50.78810501098633,345.5536,14.93352508544922,0.2937228381633758,3.551698435933531,-2711.1288,236.555,10.034506451612904,41195.996,178.89288255842496,677.113037109375,11912464,1.0577130267076882
8,"[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]","[4, 6, 1, 1, 1, 2, 6, 2]",1214.9989013671875,0.8847,124542306,-7.734290599822998,42.52710723876953,385.0191,13.904851913452148,0.2723996937274933,3.3550379784152256,-3112.7316,238.9532,9.990551428571427,46145.203,178.15839615179326,710.463623046875,14266880,1.1204859720394325
9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]","[6, 2, 4, 1, 3, 2, 3, 5, 2]",666.300048828125,0.8828,99553048,-3.8719329833984375,35.51018142700195,415.6883,13.518239974975586,0.1809074729681015,2.884930610432882,-2595.923,239.6276,9.911702564102564,48700.402,178.48853612997272,815.777587890625,12827392,1.0250996195732751
7,"[176, 176, 176, 176, 176, 176, 176]","[3, 4, 6, 6, 5, 4, 3]","[3, 2, 6, 1, 2, 5, 2]",1178.655517578125,0.9199,111790350,-6.96874475479126,42.3100471496582,340.0421,13.464788436889648,0.3183042705059051,3.2919475968194547,-2557.0117,234.4427,9.937029032258064,39412.13,176.52600952099783,646.4938354492188,10288304,1.0425779044433057
7,"[112, 112, 112, 112, 112, 112, 112]","[6, 5, 6, 6, 4, 4, 3]","[2, 5, 4, 6, 6, 4, 5]",362.4700927734375,0.8831,59899266,-2.1648640632629395,22.180646896362305,321.943,9.203110694885254,0.1271537244319915,2.3309457822654167,-2229.494,226.9665,9.654558064516127,36003.574,177.18949504572004,619.2713012695312,7231072,0.9124424259715624
9,"[32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 5, 6, 3, 3, 3, 3, 4, 4]","[6, 3, 3, 1, 5, 2, 3, 5, 2]",35.368438720703125,0.7501,6041252,-0.3077217936515808,1.6849157810211182,304.8667,2.4583444595336914,0.0079794703051447,1.0200597829289757,-4157.5529,213.7655,8.482435897435897,27644.52,156.19210176267822,658.5806884765625,2956912,0.6338603865226542
6,"[240, 240, 240, 240, 240, 240]","[6, 5, 6, 3, 3, 3]","[1, 4, 3, 2, 2, 6]",2755.753662109375,0.9213,176232000,-10.479205131530762,71.74819946289062,309.0225,17.610240936279297,0.7788792848587036,4.26144002546971,-3157.4106,233.114,10.180774074074074,37738.23,179.72650813965234,574.6244506835938,10178368,1.1594929896218673
7,"[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]","[2, 3, 5, 5, 4, 4, 4]",64.76419067382812,0.7688,10737678,-1.0692806243896484,4.830349922180176,269.2677,4.494800090789795,0.0529408641159534,1.2566925237844089,-2629.087,212.636,8.828858064516128,25449.613,161.3201378095896,562.1936645507812,2710672,0.6547747654419425
7,"[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]","[3, 3, 4, 4, 4, 1, 2]",491.0396728515625,0.867,60126696,-2.407477855682373,18.80044937133789,320.6988,8.408931732177734,0.2043066173791885,2.56333948937106,-3219.4473,229.467,9.67995806451613,34831.965,170.2876644199159,634.7753295898438,7277712,0.9456290343804312
5,"[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]","[4, 5, 6, 1, 6]",496.019775390625,0.8667,54170158,-1.3038121461868286,13.210558891296388,236.2376,5.422599315643311,0.0629013329744339,2.5953593767517305,-5294.0967,220.4919,9.558369565217392,26205.133,171.6012853317484,457.2521362304688,4269712,0.9852901798549284
7,"[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]","[1, 1, 4, 2, 1, 1, 5]",63.26054763793945,0.7649,8070804,-0.8068885803222656,3.1140260696411133,255.4287,3.384157180786133,0.0354524068534374,1.2464312026713458,-3300.526,209.9812,8.673112903225805,23341.969,152.87840431083964,543.5484619140625,3039952,0.6438542381942227
4,"[128, 128, 128, 128]","[5, 3, 5, 4]","[5, 6, 4, 5]",496.3339538574219,0.8478,47162864,-2.9308457374572754,16.960241317749023,194.22,6.699777603149414,0.1383190602064132,2.6089790076657664,-5044.4804,214.2691,9.449757894736845,21280.436,169.80839687124686,376.37109375,2527632,0.9977409614803036
10,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]","[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]",166.05215454101562,0.8293,38082856,-4.931447505950928,19.250324249267575,413.905,12.05915641784668,0.1168833598494529,1.8080339736792757,-2411.6229,231.7047,9.03053488372093,44202.85,172.53543809659524,839.9249877929688,9031616,0.7810849779643119
4,"[128, 128, 128, 128]","[6, 5, 3, 4]","[6, 5, 6, 5]",499.7480773925781,0.8845,50404018,-3.4884049892425537,18.45414161682129,195.8533,6.942907810211182,0.0989135056734085,2.6268885432946263,-4538.0197,214.6397,9.440626315789476,20667.62,171.1874863672469,376.00396728515625,2664592,1.0087235477840295
8,"[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]","[4, 1, 1, 4, 1, 1, 4, 2]",64.37096405029297,0.7683,9430260,-0.6129251718521118,3.113317012786865,293.5058,3.4400763511657715,0.0220212936401367,1.2549200017888469,-3146.444,216.1147,8.733925714285714,27337.777,154.07895185555213,613.4982299804688,4168192,0.6524628308226212
6,"[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]","[1, 1, 3, 6, 1, 3]",1162.3709716796875,0.9224,86777908,-5.954131126403809,35.52836227416992,289.0315,12.073125839233398,0.2850959599018097,3.235580960281368,-3095.2057,227.2794,9.84857777777778,32729.484,171.48758723754722,556.10205078125,6925600,0.9757140228848584
5,"[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]","[2, 1, 2, 6, 6]",1161.8763427734375,0.8963,85854160,-2.2017178535461426,23.603702545166016,247.5165,7.44792366027832,0.1962662786245346,3.250541988287296,-3376.4116,223.2218,9.7797,28674.164,173.44054969593432,475.9551696777344,4694608,0.9969439612032148
5,"[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]","[2, 2, 4, 1, 4]",359.4654541015625,0.8467,30816982,-1.6442800760269165,9.588078498840332,228.3124,5.3260817527771,0.0514691062271595,2.3009841382372542,-5188.5903,216.2662,9.315530434782607,22792.348,162.134067134455,454.8445434570313,3285520,0.8796911863064452
6,"[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]","[4, 3, 3, 5, 6, 3]",109.39056396484376,0.7949,16114028,-0.9946095943450928,5.821239948272705,247.3568,4.38961124420166,0.0600036494433879,1.5596964332651169,-4449.543,214.3995,9.047225925925927,24060.531,163.4149290831212,491.0004577636719,2682064,0.7516446672473194
5,"[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]","[2, 3, 5, 2, 2]",107.3421859741211,0.7619,10937766,-0.5050808191299438,3.1152987480163574,203.3375,2.7430431842803955,0.016802255064249,1.5606195810078134,-6131.8178,207.6317,8.847521739130434,18801.234,154.13412280275844,412.3190002441406,2069904,0.7499491004709853
8,"[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]","[1, 4, 1, 6, 1, 2, 4, 3]",1456.4744873046875,0.8999,144466168,-6.429114818572998,47.86373519897461,389.1198,14.229164123535156,0.5701184868812561,3.507669818832369,-2647.6632,237.769,10.0912,45889.082,177.18049250539812,750.0430908203125,15940048,1.0184569065031042
6,"[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]","[6, 5, 1, 4, 4, 1]",672.0153198242188,0.8741,70796712,-2.8779664039611816,21.21814727783203,284.1682,8.310742378234863,0.1320794522762298,2.915963573397676,-5147.9152,228.2121,9.710214814814814,32737.648,172.50866500166617,541.04345703125,7262080,1.0613097857503817
4,"[128, 128, 128, 128]","[4, 6, 6, 4]","[2, 1, 3, 1]",482.78753662109375,0.812,26409208,-1.6553552150726318,8.584000587463379,185.1884,4.821589469909668,0.0601519383490085,2.527849766236613,-7033.7641,211.0756,9.205157894736844,18647.895,152.74711703582912,362.8621826171875,2889872,0.907952693552943
7,"[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]","[2, 2, 4, 3, 5, 2, 3]",1168.1243896484375,0.9154,111711754,-5.7833757400512695,39.30320739746094,340.4704,12.764763832092283,0.279399424791336,3.2693852425811656,-2821.3245,233.7564,9.997816129032255,39797.406,176.57539044818802,649.44189453125,10921776,1.018022523331183
7,"[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]","[1, 2, 3, 1, 6, 3, 5]",244.3565673828125,0.8568,34827072,-2.453085899353028,14.027563095092772,304.7872,7.698056221008301,0.100530095398426,2.033662939019564,-2368.8985,222.1785,9.351512903225808,32237.99,168.87887236592314,608.413818359375,6348688,0.8073354253360776
9,"[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]","[1, 1, 3, 6, 1, 1, 3, 4, 5]",63.70511245727539,0.7781,11650254,-1.783531904220581,5.959280490875244,329.6385,6.123680591583252,0.0528769567608833,1.2464751476027711,-2667.6821,216.793,8.797574358974359,31638.395,159.42981484319856,671.6154174804688,4694992,0.6439987300088568
